category,quote,author,sport,x_handle,instagram_handle,status,notes
alpine_skiing,"People ask me what makes a great skier. It takes the gift; but besides the gift it takes the availability of mind which permits total control of all the elements that lead to victory.",Jean-Claude Killy,Alpine Skiing,,,retired,"Triple Olympic champion 1968, French legend"
alpine_skiing,"I will always be someone who wants to do better than others. I love competition.",Jean-Claude Killy,Alpine Skiing,,,retired,First World Cup overall champion
alpine_skiing,"Win some, lose some. The object is to win more than you lose, but never give up. Never, ever give up.",Jean-Claude Killy,Alpine Skiing,,,retired,Business wisdom from a champion
alpine_skiing,"The answer is always there. The problem is to find it. Not to find it is an excuse for not succeeding.",Jean-Claude Killy,Alpine Skiing,,,retired,Problem-solving mindset
alpine_skiing,"It doesn't matter if you win the World Cup three, four, five or ten times.",Ingemar Stenmark,Alpine Skiing,,,retired,"86 World Cup wins, the GOAT"
alpine_skiing,"He was one with his skis. Very reduced margins of error. He annihilated opponents.",,,Alpine Skiing,,,n/a,About Ingemar Stenmark - from competitors
alpine_skiing,"I am a beast!",Alberto Tomba,Alpine Skiing,,,retired,"La Bomba - 50 World Cup wins, shouted after first big win"
alpine_skiing,"I am the new messiah of skiing!",Alberto Tomba,Alpine Skiing,,,retired,"After winning by 1.34 seconds, 1987"
alpine_skiing,"Coming from Bologna helped me grow up with a sense of humour and an ability to de-dramatise situations.",Alberto Tomba,Alpine Skiing,,,retired,On handling pressure with humor
alpine_skiing,"I regret having retired because those 50 victories could have been many more.",Alberto Tomba,Alpine Skiing,,,retired,Reflecting on his career
alpine_skiing,"I think the most important thing in skiing is you have to be having fun. If you're having fun, then everything else will come easy to you.",Lindsey Vonn,Alpine Skiing,@lindseyvonn,@lindseyvonn,retired,82 World Cup wins
alpine_skiing,"When you fall, get right back up.",Lindsey Vonn,Alpine Skiing,@lindseyvonn,@lindseyvonn,retired,Simple and powerful
alpine_skiing,"I want to keep pushing the limits to see what's possible.",Lindsey Vonn,Alpine Skiing,@lindseyvonn,@lindseyvonn,retired,About pushing boundaries
alpine_skiing,"When my parents were getting divorced, I just said to myself: Go to sleep, and tomorrow you can go skiing.",Lindsey Vonn,Alpine Skiing,@lindseyvonn,@lindseyvonn,retired,Skiing as refuge
alpine_skiing,"You can create your own miracle, but you do it by never looking past all the little steps along the way.",Mikaela Shiffrin,Alpine Skiing,@MikaelaShiffrin,@mikaelashiffrin,active,100+ World Cup wins
alpine_skiing,"It's not about being the best. It's about being better than you were yesterday.",Mikaela Shiffrin,Alpine Skiing,@MikaelaShiffrin,@mikaelashiffrin,active,Growth mindset
alpine_skiing,"When I get back on snow, it's almost like I travel back in time to that youthful, 6-year-old feeling where nothing else matters.",Mikaela Shiffrin,Alpine Skiing,@MikaelaShiffrin,@mikaelashiffrin,active,Pure joy of skiing
alpine_skiing,"A pair of skis are the ultimate transportation to freedom.",Warren Miller,Alpine Skiing,,,retired,Legendary ski filmmaker
alpine_skiing,"If you don't do it this year, you will be one year older when you do.",Warren Miller,Alpine Skiing,,,retired,Classic Warren Miller wisdom
alpine_skiing,"Skiing is the best way in the world to waste time.",Glen Plake,Alpine Skiing,,,retired,"Mohawk legend, ski pioneer"
alpine_skiing,"Skis are not just pieces of wood, steel and fiberglass. They are tools for escape, a medium for personal expression.",Glen Plake,Alpine Skiing,,,retired,Philosophy of skiing
alpine_skiing,"A person should have wings to carry them where their dreams go, but sometimes a pair of skis makes a good substitute.",Hans Gmoser,Alpine Skiing,,,retired,Inventor of heliskiing
alpine_skiing,"Life is like skiing. The goal is not to get to the bottom of the hill. It's to have a bunch of good runs before the sun sets.",Seth Godin,General,@ThisIsSethsBlog,@sethgodin,active,Business author and skier
alpine_skiing,"For me, personally, skiing holds everything. It removes the machinery and puts you one step closer to the elements.",Robert Redford,Film,,,retired,Actor and ski resort owner
alpine_skiing,"There is no such thing as too much snow.",Doug Coombs,Alpine Skiing,,,retired,Extreme skiing legend
alpine_skiing,"You are one with your skis and nature. This develops not only the body but the soul as well.",Fridtjof Nansen,Cross-Country,,,retired,"Norwegian explorer, Nobel laureate"
alpine_skiing,"It's better to go skiing and think of God than go to church and think of sport.",Fridtjof Nansen,Cross-Country,,,retired,Classic Norwegian wisdom
figure_skating,"Skating was the vessel into which I could pour my heart and soul.",Peggy Fleming,Figure Skating,@PeggyGFleming,@peggyfleming,retired,1968 Olympic champion
figure_skating,"Figure skating is a mixture of art and sport.",Katarina Witt,Figure Skating,,@kataborisova,retired,2x Olympic champion
figure_skating,"When I go out on the ice, I just think about my skating. I forget it is a competition.",Katarina Witt,Figure Skating,,@kataborisova,retired,Pure focus
figure_skating,"I started to figure skate at age five, and the first thing my coach taught me was how to fall.",Michelle Kwan,Figure Skating,@MichelleWKwan,@michellewkwan,retired,5x World champion
figure_skating,"Literally falling on the ice and having to pick yourself up in front of thousands of people is not easy. You learn to pick yourself back up.",Michelle Kwan,Figure Skating,@MichelleWKwan,@michellewkwan,retired,On resilience
figure_skating,"Winning is not about how many medals you get—it's about accomplishing goals and just being the best you can be.",Michelle Kwan,Figure Skating,@MichelleWKwan,@michellewkwan,retired,Redefining success
figure_skating,"When I was younger, I always dreamed of being a legend, to be remembered in figure skating.",Michelle Kwan,Figure Skating,@MichelleWKwan,@michellewkwan,retired,Dream big
figure_skating,"Love your sport. Never do it to please someone else; it has to be yours.",Michelle Kwan,Figure Skating,@MichelleWKwan,@michellewkwan,retired,Authentic motivation
figure_skating,"I just try to touch people's hearts through skating, so they're not just witnessing a performance, they're feeling it.",Scott Hamilton,Figure Skating,@ScottHamilton84,,retired,1984 Olympic champion
figure_skating,"Everything that I've been able to accomplish in skating and life has come out of adversity and perseverance.",Scott Hamilton,Figure Skating,@ScottHamilton84,,retired,Cancer survivor and champion
figure_skating,"Without strength and courage it's really hard to perform at the highest levels. You're alone on the ice with just seven minutes to prove yourself.",Scott Hamilton,Figure Skating,@ScottHamilton84,,retired,On pressure
figure_skating,"I never feel like a champion. I'm always a challenger.",Yuzuru Hanyu,Figure Skating,,@yikiee0101,retired,2x Olympic champion
figure_skating,"The driving force for growth is to have an open heart.",Yuzuru Hanyu,Figure Skating,,@yikiee0101,retired,On continuous improvement
figure_skating,"Even if I don't do well in a competition, my motivation goes up 100% after a failure.",Yuzuru Hanyu,Figure Skating,,@yikiee0101,retired,Resilience mindset
figure_skating,"In skating I can use all languages, for all the people.",Yuzuru Hanyu,Figure Skating,,@yikiee0101,retired,Universal expression
figure_skating,"It's everything for me. Without figure skating, I am nothing.",Evgeni Plushenko,Figure Skating,@EvgeniPlushenko,@plushenkoofficial,retired,"3x Olympic medalist, Russian legend"
figure_skating,"The biggest lesson has been that there are no shortcuts. It's just a lot of hard work and sacrifice to get what you want.",Tessa Virtue,Ice Dancing,@Aborr,@tessavirtue,retired,Most decorated Olympic ice dancer
